Nom,Popularitat,Artista,Artistes,Data,uri
SORT DE TU,65,Oques Grasses,Oques Grasses,2024-04-12,054BhpaxELmhu24ECqU8un
La Gent Que Estimo,64,Oques Grasses,"Oques Grasses, Rita Payés",2021-05-28,2aTvlIMGoo2L9x5YzJNjj5
LA MARINA STA MORENA,64,Figa Flawas,Figa Flawas,2024-07-04,0HIbm4W6C8Ar2Cnen0tE44
Elefants,61,Oques Grasses,Oques Grasses,2021-05-28,7aMxgxCCbkmtRpNNB5OWgY
SOLUCIONS i NO PROBLEMES,61,Figa Flawas,Figa Flawas,2024-01-26,4ZwCcWOVTwvKwSuFbhiafN
Serem Ocells,59,Oques Grasses,Oques Grasses,2019-02-08,1OhTU9Vr08VrEAa0kJ98u8
QUE NO S'ACABI,59,Figa Flawas,Figa Flawas,2024-01-26,6jGRVhTB3P0306pQHpFcF8
TOCA,59,Oques Grasses,"Oques Grasses, Figa Flawas",2024-04-12,62E6Lo5E3E3y21oQqPwdpD
estaré millor demà,59,The Tyets,"MARLENA, The Tyets",2024-10-25,7xQAF1XU7q3TlT6ICE3c0e
JA DORMIRÉ,58,Figa Flawas,"La Fúmiga, Figa Flawas",2024-02-23,1TewcrGBlkDAMhehfn0eHh
CÓRRER PELS CAMPS,58,Oques Grasses,Oques Grasses,2024-04-12,7aCZM1ApvudN9LTlzgiyAu
Tot el que ens queda,58,Ginestà,Ginestà,2025-03-04,2QcmLFnAZme6TIzmV3NZCT
Volcans,57,Buhos,Buhos,2018-02-16,6kp5vm0qtmsG6YTLaWcsoo
Torno a Ser Jo,57,Oques Grasses,Oques Grasses,2019-02-08,1x01aWidnuAXwmumSnuRwL
Cap. 2: Havia de Passar,57,La Fúmiga,"La Fúmiga, The Tyets",2020-11-10,1pNNfZlSlIPTQOfoPhgdAf
Olívia,57,The Tyets,The Tyets,2023-03-03,0gRIXIUFSqWqw5rXcmaf9o
In The Night,56,Oques Grasses,Oques Grasses,2019-02-08,4dG8lkQSrRdiQe89ZXx0sT
Sta Guai,56,Oques Grasses,Oques Grasses,2019-02-08,60pwtohz88VHEpAXtTGgYq
Milionària,56,ROSALÍA,ROSALÍA,2019-07-03,2K3bjojp1sCLdMMoO5lJ2p
Coti x Coti,56,The Tyets,The Tyets,2023-03-03,73ZTxlG3t79x4EY9EVGgPk
MUSSEGU,56,Figa Flawas,Figa Flawas,2024-01-26,1S8Cu24XXELLe4g4Hgz2m2
COVARDS,56,The Tyets,"La Fúmiga, The Tyets",2024-02-23,19herHhe8mbbOMYILYWGnw
Un petonet,56,The Tyets,"The Tyets, Juan Magán",2025-04-04,778GQ3Md4lKITSgMPdHU1l
MOLTA TRALLA,55,Oques Grasses,Oques Grasses,2005-02-05,3WqsYnIplEVhnsPp9oUnIf
Mediterrània,55,La Fúmiga,"La Fúmiga, El Diluvi, VADEBO",2019-11-05,6PSa8yVwOCDUteo1trGtUm
COM EL DIA I LA NIT,55,Oques Grasses,"Oques Grasses, Julieta",2024-04-12,4oITtKgZh6lPRM1JSEb4sX
Espurna,55,Figa Flawas,"Stay Homas, Figa Flawas",2025-01-16,0YLvq215pAthBeTs5qp5yg
NO ÉS MIAMI,55,Buhos,"Buhos, Els Catarres, Henry Mendez",2025-05-23,6dEsxPaNst8eZHClWD6qu4
Petar-ho,54,Oques Grasses,Oques Grasses,2005-02-05,6uA2ws8LIx8zUMEsBwEWAA
Jo Mai Mai,54,Joan Dausà,Joan Dausà,2012-02-14,0KTSV4NdrByhWXmuTOtcgK
Pa amb Oli I Sal,54,Blaumut,Blaumut,2013-04-22,7mKkpSKp0Gba3aWSkcVvL2
Una Lluna a L'Aigua,54,Txarango,Txarango,2017-03-26,5ju5eWBU56D87aflOhyuR1
Escriurem,54,Miki Núñez,Miki Núñez,2019-09-12,42dX767ZcsJN2hiBZkFCbh
Tobogan,54,Zoo,ZOO,2021-03-26,4VTUvh41TeBWemxxBHGxOV
Cant del Barça - Himne Oficial del FC Barcelona,54,FC Barcelona,"FC Barcelona, Orquestra Simfònica Del Vallès, Orfeó Català, Cor Jove De L'Orfeó Català, Raúl Patiño, Pablo Larraz",2023-11-29,5xXjygXDO7SQirJo37KBxV
DIABLA,54,Figa Flawas,"Figa Flawas, Mushkaa",2024-01-26,5zfVQFZ6T20uTip2mti2pn
Només viure,54,Ginestà,Ginestà,2024-10-17,1JElpM8NFE6PzsTRkca0ru
De Bonesh,53,Oques Grasses,Oques Grasses,2005-02-05,5ObiVsgtKaynGBIVwjzhGb
Al mar!,53,Manel,Manel,2008-11-11,4KQPAGQNStZaWiewr83fwM
Benvolgut,53,Manel,Manel,2011-03-15,6ADbZPiWZNsaCiIvsg5iq6
Vull Estar amb Tu,53,Els Catarres,Els Catarres,2013-03-21,2aOMXFcsyUiNc4X1hwLzzs
Compta amb Mi,53,Txarango,Txarango,2014-03-24,5rHk6N15ELTSZ1sjxs8N7D
T'he Trobat a Faltar,53,Buhos,"Buhos, En Tol Sarmiento",2021-12-10,0Pub20AwouQspBTdtFKa55
La Tabarra,53,Figa Flawas,Figa Flawas,2022-05-13,6xnXh5Xg34lb0928507vrc
Bailoteo,53,The Tyets,The Tyets,2023-03-03,1KoM5GTuiZMAbdWY7hkdoi
A Fora Plou,53,The Tyets,The Tyets,2025-04-04,0fYhMttPeZwWxZtIo88U8i
Si ho deixéssim tot,53,The Tyets,The Tyets,2025-04-04,2TzGyJSmcxF3qHRmstH5tJ
Camins,52,Sopa de Cabra,Sopa De Cabra,2001-11-15,7JaD4wn9s5zEaSyw3KtNxZ
JUBILAR-ME,52,Oques Grasses,Oques Grasses,2005-02-05,5NnVYDzchKktmiDCGZgvtd
PINGPONG,52,Oques Grasses,Oques Grasses,2005-02-05,51dp4qTtM4DuAKcmkU8dxi
ACTITUD,52,Buhos,"Buhos, Fraktal, Mon DJ",2005-02-05,4D4DbeUfU2tsrbP83y54Qd
